site,crop,strip,transect,dist,date,season,seeds,germ.only.eaten,notes
BAUF2,corn,N,w,-4.5,11/2/2024,fall,49,,
BAUF2,corn,N,w,10,11/2/2024,fall,50,,
BAUF2,corn,N,w,25,11/2/2024,fall,50,,
BAUF2,corn,N,w,50,11/2/2024,fall,30,,
BAUF2,corn,N,w,100,11/2/2024,fall,49,,
BAUF2,corn,N,c,-4.5,11/2/2024,fall,43,,
BAUF2,corn,N,c,10,11/2/2024,fall,50,,
BAUF2,corn,N,c,25,11/2/2024,fall,48,,
BAUF2,corn,N,c,50,11/2/2024,fall,8,,
BAUF2,corn,N,c,100,11/2/2024,fall,49,,
BAUF2,corn,N,e,-4.5,11/2/2024,fall,42,,
BAUF2,corn,N,e,10,11/2/2024,fall,39,,
BAUF2,corn,N,e,25,11/2/2024,fall,45,,
BAUF2,corn,N,e,50,11/2/2024,fall,48,,
BAUF2,corn,N,e,100,11/2/2024,fall,,,"Tipped and soaked, toss"
ASP4F2,corn,Y,w,-4.5,11/2/2024,fall,0,,
ASP4F2,corn,Y,w,10,11/2/2024,fall,47,,
ASP4F2,corn,Y,w,25,11/2/2024,fall,46,,
ASP4F2,corn,Y,w,50,11/2/2024,fall,42,,"Tipped, decently confident all seeds were recovered but maybe toss"
ASP4F2,corn,Y,w,75,11/2/2024,fall,31,,
ASP4F2,corn,Y,c,-4.5,11/2/2024,fall,0,,
ASP4F2,corn,Y,c,10,11/2/2024,fall,4,,
ASP4F2,corn,Y,c,25,11/2/2024,fall,49,,
ASP4F2,corn,Y,c,50,11/2/2024,fall,46,,"Tipped, not positive all seeds were recovered"
ASP4F2,corn,Y,c,75,11/2/2024,fall,36,14,14 with germ only eaten
ASP4F2,corn,Y,e,-4.5,11/2/2024,fall,0,,
ASP4F2,corn,Y,e,10,11/2/2024,fall,46,,
ASP4F2,corn,Y,e,25,11/2/2024,fall,49,,
ASP4F2,corn,Y,e,50,11/2/2024,fall,50,,
ASP4F2,corn,Y,e,75,11/2/2024,fall,42,8,8 with germ only eaten
BAUF1,corn,N,w,-4.5,11/2/2024,fall,50,,
BAUF1,corn,N,w,10,11/2/2024,fall,50,,
BAUF1,corn,N,w,25,11/2/2024,fall,50,,
BAUF1,corn,N,w,50,11/2/2024,fall,47,1,1 with germ only eaten
BAUF1,corn,N,w,100,11/2/2024,fall,49,,
BAUF1,corn,N,e,-4.5,11/2/2024,fall,49,1,1 with germ only eaten
BAUF1,corn,N,e,10,11/2/2024,fall,50,,
BAUF1,corn,N,e,25,11/2/2024,fall,50,,
BAUF1,corn,N,e,50,11/2/2024,fall,50,,
BAUF1,corn,N,e,100,11/2/2024,fall,50,,
BAUF1,corn,N,c,-4.5,11/2/2024,fall,50,,
BAUF1,corn,N,c,10,11/2/2024,fall,50,,
BAUF1,corn,N,c,25,11/2/2024,fall,50,,
BAUF1,corn,N,c,50,11/2/2024,fall,49,,
BAUF1,corn,N,c,100,11/2/2024,fall,41,5,5 with germ only eaten
BAUF2,soy,N,n,-4.5,11/2/2024,fall,31,,
BAUF2,soy,N,n,10,11/2/2024,fall,22,,
BAUF2,soy,N,n,25,11/2/2024,fall,2,,
BAUF2,soy,N,n,50,11/2/2024,fall,2,,
BAUF2,soy,N,n,100,11/2/2024,fall,49,,
BAUF2,soy,N,s,-4.5,11/2/2024,fall,42,,
BAUF2,soy,N,s,10,11/2/2024,fall,48,,
BAUF2,soy,N,s,25,11/2/2024,fall,47,,
BAUF2,soy,N,s,50,11/2/2024,fall,41,,
BAUF2,soy,N,s,100,11/2/2024,fall,39,,
BAUF2,soy,N,c,-4.5,11/2/2024,fall,46,1,1 with germ only eaten
BAUF2,soy,N,c,10,11/2/2024,fall,37,,
BAUF2,soy,N,c,25,11/2/2024,fall,46,,
BAUF2,soy,N,c,50,11/2/2024,fall,23,,
BAUF2,soy,N,c,100,11/2/2024,fall,48,,
BAUF1,soy,N,e,100,11/2/2024,fall,26,18,18 with germ only eaten
BAUF1,soy,N,e,50,11/2/2024,fall,0,,
BAUF1,soy,N,e,25,11/2/2024,fall,16,4,4 with germ only
BAUF1,soy,N,e,10,11/2/2024,fall,34,,
BAUF1,soy,N,e,-4.5,11/2/2024,fall,23,,
BAUF1,soy,N,c,100,11/2/2024,fall,21,,
BAUF1,soy,N,c,50,11/2/2024,fall,0,2,2 with germ only eaten
BAUF1,soy,N,c,25,11/2/2024,fall,36,3,3 with germ only eaten
BAUF1,soy,N,c,10,11/2/2024,fall,37,9,9 with germ only eaten
